iter	Passed	Remaining
0	181	180966
1	182	91251
2	184	61263
3	185	46244
4	187	37268
5	188	31235
6	189	26899
7	190	23670
8	192	21160
9	193	19152
10	194	17489
11	195	16113
12	196	14948
13	197	13930
14	198	13043
15	199	12266
16	200	11584
17	201	10978
18	202	10438
19	203	9955
20	204	9514
21	205	9114
22	206	8764
23	207	8437
24	208	8134
25	209	7854
26	210	7592
27	211	7350
28	212	7123
29	213	6917
30	215	6721
31	216	6536
32	217	6363
33	218	6201
34	219	6046
35	220	5897
36	221	5761
37	222	5638
38	223	5516
39	224	5394
40	225	5279
41	226	5170
42	227	5067
43	228	4968
44	229	4873
45	230	4781
46	231	4696
47	232	4615
48	233	4537
49	234	4460
50	235	4391
51	236	4320
52	238	4256
53	239	4192
54	240	4128
55	241	4069
56	242	4012
57	243	3953
58	244	3901
59	245	3848
60	246	3795
61	247	3747
62	248	3698
63	249	3650
64	250	3604
65	251	3563
66	252	3522
67	254	3481
68	255	3441
69	256	3402
70	257	3364
71	258	3326
72	259	3289
73	260	3254
74	261	3221
75	262	3188
76	263	3154
77	264	3122
78	265	3090
79	266	3061
80	267	3033
81	268	3004
82	268	2971
83	269	2943
84	270	2916
85	271	2890
86	272	2863
87	273	2838
88	274	2811
89	275	2786
90	276	2761
91	277	2737
92	278	2713
93	279	2690
94	279	2667
95	280	2646
96	282	2625
97	283	2604
98	283	2583
99	284	2562
100	285	2542
101	286	2522
102	287	2503
103	288	2483
104	289	2464
105	289	2445
106	290	2426
107	291	2408
108	292	2390
109	293	2373
110	294	2356
111	295	2340
112	296	2325
113	297	2310
114	298	2295
115	299	2280
116	299	2264
117	300	2249
118	301	2234
119	302	2218
120	303	2203
121	304	2188
122	304	2174
123	305	2160
124	306	2146
125	307	2133
126	308	2119
127	309	2107
128	310	2094
129	311	2083
130	312	2072
131	313	2061
132	314	2050
133	315	2038
134	316	2027
135	317	2016
136	318	2004
137	319	1994
138	320	1984
139	321	1975
140	323	1968
141	323	1956
142	324	1946
143	326	1939
144	327	1931
145	328	1922
146	329	1912
147	330	1903
148	331	1893
149	332	1884
150	333	1874
151	334	1865
152	335	1856
153	336	1849
154	337	1841
155	339	1834
156	341	1830
157	342	1824
158	343	1817
159	344	1810
160	345	1800
161	346	1793
162	347	1784
163	348	1776
164	349	1768
165	350	1760
166	351	1752
167	352	1744
168	353	1736
169	354	1728
170	355	1721
171	356	1715
172	357	1708
173	358	1701
174	359	1694
175	360	1687
176	361	1679
177	362	1672
178	363	1665
179	364	1659
180	365	1654
181	366	1648
182	367	1641
183	368	1635
184	370	1631
185	371	1627
186	373	1622
187	374	1617
188	375	1612
189	376	1606
190	378	1601
191	379	1594
192	379	1588
193	380	1582
194	381	1575
195	382	1569
196	383	1562
197	384	1556
198	385	1552
199	386	1546
200	387	1541
201	388	1535
202	389	1530
203	390	1524
204	391	1519
205	392	1513
206	393	1507
207	394	1502
208	395	1496
209	396	1490
210	397	1485
211	398	1479
212	398	1474
213	400	1469
214	401	1464
215	402	1459
216	403	1455
217	404	1450
218	405	1445
219	406	1440
220	407	1434
221	407	1429
222	408	1424
223	409	1419
224	410	1414
225	411	1409
226	412	1404
227	413	1399
228	414	1394
229	415	1390
230	416	1386
231	417	1381
232	418	1376
233	419	1372
234	420	1368
235	421	1363
236	422	1359
237	423	1354
238	424	1350
239	425	1345
240	425	1341
241	426	1337
242	427	1332
243	428	1327
244	429	1323
245	430	1319
246	431	1316
247	432	1311
248	433	1308
249	434	1304
250	435	1300
251	436	1295
252	437	1291
253	438	1287
254	439	1283
255	440	1279
256	441	1275
